qualified_sample,covar_type,outcome,category,normalize,split_folder,split_value,estimation_type,event_time,estimate,sd,ci_low,ci_high
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-10,-0.0799797334957164,0.411493048509392,-0.886506108574124,0.726546641582691
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-9,0.478767104800694,0.47217127329675,-0.446688590860936,1.40422280046232
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-8,-0.234796892131589,0.347291427101901,-0.915488089251315,0.445894304988137
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-7,0.825680266677851,0.391935766842574,0.0574861636664068,1.5938743696893
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-6,0.694776453378518,0.36532265759263,-0.0212559555030362,1.41080886226007
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-5,0.379446563162809,0.250269405709085,-0.111081472026997,0.869974598352615
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-4,0.230626576202645,0.243826616183084,-0.247273591516198,0.708526743921489
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-3,-0.00329027946198943,0.225302339487855,-0.444882864858186,0.438302305934207
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-2,0.00738267618260693,0.19291176186949,-0.370724377081594,0.385489729446808
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-1,0,0,0,0
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,0,-0.634615070184594,0.197566590131821,-1.02184558684296,-0.247384553526225
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,1,-1.49558723208996,0.169131669892605,-1.82708530507947,-1.16408915910045
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,2,-1.89899212889341,0.190265585168812,-2.27191267582429,-1.52607158196254
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,3,-2.01724356162237,0.260203478586225,-2.52724237965137,-1.50724474359336
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,4,-2.44109604120884,0.338023662877773,-3.10362242044928,-1.77856966196841
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,5,-2.47191740145266,0.327331624594124,-3.11348738565714,-1.83034741724818
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,6,-3.00849268115999,0.457713777056382,-3.9056116841905,-2.11137367812948
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,7,-3.09014759768652,0.557410390069551,-4.18267196222284,-1.9976232331502
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,8,-3.189024922537,0.61560661079571,-4.39561387969659,-1.98243596537741
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,9,-3.26853760431443,0.608364965162041,-4.46093293603203,-2.07614227259683
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,10,-2.53457981698549,0.7120250301642,-3.93014887610732,-1.13901075786365
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,11,-1.71914315319032,1.16463860300337,-4.00183481507692,0.563548508696284
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-15,-0.177210317344369,0.334544817089957,-0.832918158840685,0.478497524151948
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-14,0.147945750398369,0.249220464650585,-0.340526360316778,0.636417861113516
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-13,0.224160864557867,0.218395019881817,-0.203893374410494,0.652215103526229
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-12,0.562380599576473,0.179281386660486,0.210989081721921,0.913772117431025
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-11,0.58405301885609,0.172084999052767,0.246766420712665,0.921339616999514
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-10,0.379872035294438,0.217340866603848,-0.0461160632491047,0.805860133837981
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-9,0.302270179229003,0.188495325830236,-0.0671806593982598,0.671721017856267
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-8,0.346461891773727,0.174288939285315,0.00485557077451049,0.688068212772944
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-7,0.857887972735902,0.312106878741368,0.24615849040282,1.46961745506898
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-6,0.722492761919719,0.287038856912256,0.159896602371698,1.28508892146774
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-5,0.217845509943718,0.149529326015515,-0.0752319690466921,0.510922988934128
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-4,0.194848263444788,0.169441710615112,-0.137257489360831,0.526954016250408
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-3,0.345760854198269,0.184878027396933,-0.0166000794997204,0.708121787896259
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-2,0.411353107664395,0.174473647125752,0.0693847592979205,0.753321456030869
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,-1,0,0,0,0
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,0,0.506495450748754,0.325153623907123,-0.130805652109207,1.14379655360672
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,1,-0.0808960901973997,0.188298647508266,-0.449961439313602,0.288169258918803
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,2,-0.140585839219821,0.16673218906896,-0.467380929794983,0.18620925135534
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,3,0.0891344533193373,0.227313464484899,-0.356399937071066,0.53466884370974
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,4,1.15056328028365,0.619822653461344,-0.0642891205005867,2.36541568106788
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,5,0.714617059997703,0.580902063283668,-0.423950984038286,1.85318510403369
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,6,0.41290378394115,0.242476878507443,-0.0623508979334388,0.888158465815739
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,7,0.219382983264785,0.210560770753811,-0.193316127412684,0.632082093942255
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,8,0.416967325390976,0.232190587481267,-0.0381262260723068,0.872060876854258
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,9,0.418410427490796,0.445633626353189,-0.455031480161455,1.29185233514305
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,10,0.236985309987956,0.78181486904464,-1.29537183333954,1.76934245331545
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,high,observed,11,-1.42622864316404,0.325972602768218,-2.06513494458975,-0.787322341738334
