actor_id,actor_login
94046181,deepchecks-bot
94435688,mr12obot
95430995,common-config-bot
95510084,socket-security[bot]
95589833,thebabellibrarybot
95693256,ci-token-creator[bot]
95693256,phillip-ground[bot]
95760031,chamoddeshanbot
96007441,ibis-project-bot[bot]
96075541,graphite-app[bot]
96141124,ietf-svn-bot
96536427,ibis-squawk-bot[bot]
96540410,ibis-docs-bot[bot]
96544894,basetenbot
96930029,crocodile-code-review[bot]
97388504,fix-bot
97389386,ibis-pr-approval-bot[bot]
97764156,pytorchmergebot
97982828,virtool-bot
98049902,meshinspector-bot
98583408,k-ribot
98671527,cleanlab-bot
98922864,opensearch-trigger-bot[bot]
98988430,gcp-cherry-pick-bot[bot]
99437290,cpython-cla-bot[bot]
99478713,app-sre-trigger-bot
99699801,py-mine-bot
100293103,mm-assistant[bot]
100847228,rtosholdings-bot
101329030,foqal-agent[bot]
101540606,oss-fuzz-robot
102100353,inclusive-coding-bot
102558755,dyu-bot
102560831,dotnet-sb-bot
102677775,oca-application[bot]
102677775,oracle-contributor-agreement[bot]
103120256,3scale-qe-bot
103574444,wormrobot
104037759,Winrargivemebot
104101892,pixeebot[bot]
104158401,ercbot
104314360,fief-bailiff[bot]
104649659,owlbot-bootstrapper[bot]
104741743,vapeluckymanbot
104832597,reviewpad[bot]
105521251,stripe-openapi[bot]
105723949,Tobbybot
106112521,amplify-self-hosted-runners[bot]
106132319,pyca-boringbot[bot]
106163043,Gemirobot
106279034,semgrep-ci[bot]
106613265,codesandbox[bot]
107292221,streamlinkbot
107565488,stainless-bot
107584329,my-first-probot-app-15[bot]
107646043,hashupdatebot
107717825,opentelemetrybot
107775138,iris-actions[bot]
107775138,scitools-ci[bot]
108416695,speakeasybot
108515334,paddle-bot[bot]
108753792,priceloop-infrastructure-build-app[bot]
108792105,redhat-qe-bot
109394605,grit-app[bot]
109931778,mintlify[bot]
110482729,datadog-staging-us1-crawler-test[bot]
110602490,fal-bot
111012772,foxhubber[bot]
111072512,codeowners-com[bot]
111636050,muniu-bot[bot]
111687743,gitstream-cm[bot]
112489335,hilockbot
112719459,poetry-backports[bot]
112719459,poetry-bot[bot]
113194083,jrgallibot
113403604,learn-build-service-prod[bot]
113625520,ld-repository-standards[bot]
113727212,sre-57-opslevel[bot]
113931741,jrb-cobot
114527992,what-the-diff[bot]
115122769,fern-api[bot]
115122769,fern-github-app[bot]
115253437,renovate-coveo[bot]
115657842,DorianSchuylerAbbot
116911982,Bhairbot
117304815,codspeed-hq[bot]
117830771,anaconda-renovate[bot]
117976656,zhinst-qcodes-generator[bot]
118016867,google-allstar-prod[bot]
118344674,github-merge-queue[bot]
118638395,neptune-bot
118712999,stoat-app[bot]
118962560,threatworx-github-app[bot]
119339316,merger-application[bot]
119454538,chompy-bot
120067856,pubnub-release-bot
121105855,dd-mergequeue[bot]
121461646,py-mine-ci-bot[bot]
121541134,orca-security-eu[bot]
121576822,gradio-pr-bot
121692013,back-of-house-staging[bot]
121829473,issue-triage-workflows[bot]
122456294,chatcody[bot]
122507266,arcdatabot
122799708,udata-bot
123036547,elastic-backstage-prod[bot]
123182030,heydru-bot
123482357,dotnet-policy-service[bot]
123969075,gocardless-ci-robot[bot]
124107410,friendly-mm-pr-robot[bot]
124588521,opencraft-requirements-bot
125160947,alexklibisz-scala-steward[bot]
125169248,cr-gpt[bot]
125451756,assafbot
125959684,packit-public-repos-bot
126015336,red-hat-konflux[bot]
126015336,red-hat-trusted-app-pipeline[bot]
126544928,fern-bot
126577342,rabih-datarobot
126720449,notion-workspace[bot]
128212223,cloud-tpu-inference-github-bot
128439645,sweep-ai[bot]
128613236,syncronize-issues-to-jira[bot]
128751972,tag-dbot
129370481,dd-devflow[bot]
