File: drive/output/derived/org_outcomes_practices/org_panel/important_degree_top3/rolling5/panel.parquet

MD5 hash: 3555cb37477cac54ab8ef08532479e1a

Keys: repo_name time_period 

                                                                       type   count  unique                           mean                  min                  25%                  50%                  75%                  max             std
repo_name                                                            object  301220   23030                                                                                                                                                        
time_period                                                  datetime64[ns]  301220          2021-05-22 07:19:45.244007680  2015-01-01 00:00:00  2019-07-01 00:00:00  2022-01-01 00:00:00  2023-07-01 00:00:00  2025-01-01 00:00:00                
important_actors                                                     object  301220  130571                                                                                                                                                        
num_important_qualified                                             float64  301220                                0.39184                  0.0                  0.0                  0.0                  1.0                  7.0        0.742668
important_qualified_actors                                           object  301220   25566                                                                                                                                                        
num_dropouts                                                        float64  301220                               0.015294                  0.0                  0.0                  0.0                  0.0                  4.0        0.129256
dropouts_actors                                                      object  301220    3292                                                                                                                                                        
z_thresh                                                            float64       0                                                                                                                                                                
top_k                                                               float64  177079                                    3.0                  3.0                  3.0                  3.0                  3.0                  3.0             0.0
proj_hhi_pull_request_review                                        float64   95032                               0.591319             0.016164                0.375             0.524438             0.866667                  1.0        0.275995
proj_prob_hhi_pull_request_review                                   float64   95032                               0.762835             0.166667              0.60408             0.733333                  1.0                  1.0        0.187939
avg_members_per_problem_imp                                         float64  142677                               1.550569                  1.0             1.307692                  1.5             1.737705                 10.0        0.346331
pct_members_multiple_imp                                            float64  142677                                0.44237                  0.0             0.260976             0.416667             0.599903                  1.0        0.239053
proj_hhi_discussion_comment_imp                                     float64  142502                               0.480446             0.086505             0.392484             0.454644             0.539036                  1.0        0.131618
proj_hhi_issue_comment_imp                                          float64  134280                               0.556407             0.085938             0.434525             0.518655             0.636364                  1.0        0.174608
proj_hhi_issue_opened_imp                                           float64  130734                               0.640118             0.047261                0.475             0.603821             0.810256                  1.0        0.233223
proj_hhi_pull_request_closed_imp                                    float64  107348                               0.851999             0.209877                  0.7                  1.0                  1.0                  1.0        0.184997
proj_hhi_pull_request_comment_imp                                   float64  133284                               0.595715              0.15625             0.448532             0.540816             0.699638                  1.0        0.196255
proj_hhi_pull_request_opened_imp                                    float64  134904                               0.696123             0.080332             0.530303             0.666667             0.865385                  1.0        0.202277
proj_hhi_issue_closed_imp                                           float64  130090                                0.81908              0.15625             0.677189             0.858974                  1.0                  1.0         0.18088
proj_hhi_pull_request_merged_imp                                    float64  132613                               0.866688             0.211111             0.737138                  1.0                  1.0                  1.0        0.184994
proj_prob_hhi_discussion_comment_imp                                float64  142502                               0.691051             0.111111             0.606233             0.682925             0.769508                  1.0        0.122485
proj_prob_hhi_issue_comment_imp                                     float64  134280                               0.722253              0.09375             0.614416             0.714286              0.82524                  1.0        0.148931
proj_prob_hhi_pull_request_comment_imp                              float64  133284                               0.750273             0.085873             0.631682             0.741669                 0.87                  1.0        0.159396
num_active_members_imp                                                Int64  142716                               4.169091                  1.0                  3.0                  3.0                  5.0                 54.0         2.14938
share_issue_and_pr_imp                                              float64  131082                               0.442851             0.010753             0.214286                0.375             0.666667                  1.0        0.278613
share_issue_only_imp                                                float64  101883                               0.514768             0.033333             0.333333                  0.5                  0.7                  1.0        0.244903
share_pr_only_imp                                                   float64   97535                               0.329944             0.012048             0.142857                 0.25             0.428571                  1.0        0.253883
avg_unique_types_imp                                                float64  142677                               3.469638                  1.0             2.193548             2.904762                 4.25                  9.0        1.776711
response_rate_issue_comment                                         float64  173997                               0.589098                  0.0                  0.5             0.644068             0.741935                  1.0        0.228663
response_rate_issue_opened                                          float64  175231                               0.999232                  0.0                  1.0                  1.0                  1.0                  1.0        0.018565
mean_days_to_respond_issue_comment                                  float64  161174                              65.548886                  0.0             7.093046            30.598178            74.618642          3452.702963      123.447688
mean_days_to_respond_issue_opened                                   float64  175207                              77.307631                  0.0             4.127597            27.193161            85.508029          3351.182269       147.42416
mean_days_to_respond_pull_request_comment                           float64  140978                              29.762851                  0.0             0.663299             4.474435            20.189505          3314.002593       98.607519
avg_pull_request_review_count                                       float64   95032                               1.358506             0.001209             0.448276                  1.0             1.796875                 47.0        1.466282
avg_pull_request_review_exclude_opener_count                        float64   93271                               1.089525             0.001114               0.4375                  1.0             1.454545            29.666667        0.975592
response_rate_imp                                                   float64  142588                                0.60484                  0.0             0.514308             0.630435             0.714628                  1.0        0.167008
mean_days_to_respond_imp                                            float64  141709                              33.425588             0.000012             5.472493            17.366195            40.591513          2206.273003        54.79368
pos_sentiment_avg_imp                                               float64  206542                                  0.108                  0.0             0.081087             0.107372             0.132988                  1.0        0.050654
neg_sentiment_avg_imp                                               float64  206542                               0.070162                  0.0             0.034139             0.047123             0.074175                  1.0        0.074793
