event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
-4,0.33335573954164777,0.23208534125235225,-0.12153152931296263,0.7882430083962582,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-3,0.13655327114683047,0.19253056551957537,-0.24080663727153723,0.5139131795651981,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-2,-0.005711057723093084,0.1680676844020604,-0.3351237191511315,0.3237016037049453,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-1,0,0,0,0,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
0,0.20822367787751253,0.25231591225931527,-0.2863155101507454,0.7027628659057704,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
1,-0.7395905271345933,0.1616239477258455,-1.0563734646772505,-0.4228075895919361,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
2,-1.0309232950371614,0.228870784541722,-1.4795100327389366,-0.5823365573353863,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
3,-1.0824217662761337,0.2692741383668942,-1.6101990774752464,-0.5546444550770212,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
4,-1.1850582278955701,0.32099259519837714,-1.8142037144843894,-0.555912741306751,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
5,-1.2020122134288107,0.39497959351224454,-1.97617221671281,-0.42785221014481145,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
6,-1.0784499797031861,0.47879099603725406,-2.0168803319362043,-0.14001962747016816,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
7,-1.3308136601030622,0.4331109690532416,-2.179711159447416,-0.4819161607587087,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
8,-1.9813151979543124,0.48484960598136867,-2.931620425677795,-1.03100997023083,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
9,-1.9386781217052864,0.4936427892115433,-2.906217988559911,-0.9711382548506615,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
10,-3.0478736956120773,0.5008762339766607,-4.029591114206332,-2.0661562770178223,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
11,-2.587242134651393,0.5635991251211704,-3.691896419888887,-1.482587849413899,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
12,-2.7396867191200385,0.5547623146640416,-3.82702085586156,-1.652352582378517,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
