sample,covar_type,outcome,normalize,split_value,event_time,p2.5,p50,p97.5,draw_kstar,actual
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,-4,0.0609973939839598,0.401504032452687,0.73394963763345,0.461121532726061,0.221812005308498
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,-3,0.00828761906654892,0.292332535275243,0.593245357542541,0.245820715444477,0.214985358469674
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,-2,-0.12437571378775,0.169542493863309,0.418431393519347,0.234690335166787,0.434976646325285
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,-1,0,0,0,0,0
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,0,-0.344901108258131,0.00275961206474873,0.350715215634207,0.0996395631776923,0.686322118479963
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,1,-0.222840679727894,0.182066579391234,0.60055649906375,0.628308001188037,0.749356257303491
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,2,-0.349155929812168,0.0516551196313959,0.506067593534684,0.00803751003269106,1.02953804083783
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,3,-0.376481241474745,0.0203519927292348,0.476583936225804,-0.257288208091015,0.661836068686702
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,4,-0.432400966513963,-0.000917443689073205,0.467946496786839,0.0870613347796593,0.690554093512956
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,5,-0.470161455914276,0.00439139349835692,0.507534493516357,-0.00814520820608947,0.528856045035555
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,-5,0.112102581005413,0.381117911050879,0.677901389611214,0.52532011044145,0.145862225066897
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,-4,0.0562946612481196,0.317012861320379,0.577308809853461,0.373747884346615,0.215020306881451
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,-3,-0.0171692337163186,0.220108447282645,0.458985639552898,0.187548360241341,0.227525793500805
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,-2,-0.106523691205112,0.126606279537521,0.354859064171128,0.148681254189685,0.440741418806471
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,-1,0,0,0,0,0
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,0,-0.238128625085049,0.0474709386238256,0.348523470320527,0.148026715725156,0.555368320477906
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,1,-0.379499802613273,-0.0969939725500652,0.246036042372012,0.256316164123196,0.584168177061765
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,2,-0.463295091426063,-0.16903264285428,0.176409416851002,-0.204663074636129,0.693158945687502
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,3,-0.490596697794962,-0.181269596789532,0.129655586344654,-0.361515448526277,0.503191920474907
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,4,-0.527160343518903,-0.19417689431173,0.127188751395132,-0.114222523681327,0.588249988057397
exact_1_2,pc_score_binary,pull_request_merged_direct,TRUE,high,5,-0.558439066096346,-0.191293219108816,0.191082986123162,-0.267319137630776,0.509975033093563
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,-5,-0.213224922620455,0.176013233849372,0.567280278591257,0.556581717308666,0.245070036547029
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,-4,-0.225318035145276,0.144417295833159,0.482997508388998,0.409720387899854,0.144709189584604
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,-3,-0.302986737700942,0.0800002777977081,0.416150253147768,0.181197331804941,0.261305629814019
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,-2,-0.280264570144377,0.0532172308393018,0.435814038623119,0.214213204131764,0.246835556267255
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,-1,0,0,0,0,0
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,0,-0.333632906144166,0.133074722081762,0.778608375215939,0.441224427591824,0.497899342101034
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,1,-1.08515186467799,-0.713670030213683,-0.348975049546824,-0.431416144589156,0.338048744434853
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,2,-1.0872095562907,-0.720971214837818,-0.289846119690559,-0.506401634841806,0.331529180904053
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,3,-1.11050192958168,-0.708763981540331,-0.323472304510913,-0.404619440072973,0.675270883910245
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,4,-1.14071559503963,-0.730548674120506,-0.314786962511704,-0.239192215688708,0.421037338342012
exact1,pc_score_binary,pull_request_merged_after_review,TRUE,high,5,-1.20802620882777,-0.745246001615646,-0.31761524359443,-0.285776137736076,0.232522940209301
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-5,0.289479866151552,0.631828502499928,1.03714208382956,0.57251553987198,0.275337015425764
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-4,0.19241639718388,0.498364896387844,0.814773770130494,0.377951196291672,0.247025166946815
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-3,0.083913479903223,0.362802293421697,0.657933051708023,0.306296139017743,0.273219338917935
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-2,-0.0847608911724155,0.183213685364562,0.442320530378299,0.211859939397628,0.593858668698718
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-1,0,0,0,0,0
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,0,-0.355338715810054,-0.0375375062829962,0.319400477157509,0.0561180912891454,0.510927909294924
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,1,-0.372907143901525,0.00868507138926209,0.441505451008376,0.176744383325685,0.222718830822383
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,2,-0.532998912270494,-0.149405365297772,0.270778246669489,0.0753328637007901,0.592376099452104
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,3,-0.633745496113758,-0.241778932944044,0.228985095210214,-0.247208675008799,0.609750973991316
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,4,-0.756714643680256,-0.284093318414292,0.174104511077251,-0.12255801221235,0.767451683275036
exact2,pc_score_binary,pull_request_merged_after_review,TRUE,high,5,-0.804681940553931,-0.315250150667514,0.157699728376005,-0.167058638333181,0.909765890174742
exact_1_2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-5,0.211211590528956,0.502052635781593,0.801581749800153,0.567640808768135,0.266077254764233
exact_1_2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-4,0.145171420338881,0.387169057818938,0.613252622330345,0.38767053801655,0.21572301862139
exact_1_2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-3,0.0485217549341558,0.276488282812252,0.512631246484128,0.268023901194648,0.269574505539111
exact_1_2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-2,-0.0765715176353133,0.148607354830737,0.350824687880292,0.212579887969258,0.487691780420599
exact_1_2,pc_score_binary,pull_request_merged_after_review,TRUE,high,-1,0,0,0,0,0
