,package,github repository,license
10806,django-postman,Unavailable,['BSD License']
10807,infi-recipe-console-scripts,Infinidat/infi.recipe.console_scripts,['BSD License']
10808,python-constraint,python-constraint/python-constraint,['BSD License']
10809,tg-devtools,Unavailable,['Unavailable']
10810,onegov-election-day,Unavailable,['GNU General Public License v2 (GPLv2)']
10811,lxml-asserts,SuminAndrew/lxml-asserts,['Apache Software License']
10812,chartpress,jupyterhub/chartpress,['BSD License']
10813,rflink,aequitas/python-rflink,['MIT License']
10814,django-taggit,jazzband/django-taggit,['BSD License']
10815,pytplot,MAVENSDC/pytplot,['Unavailable']
10816,tls-parser,nabla-c0d3/tls_parser,['Unavailable']
10817,geoalchemy2,geoalchemy/geoalchemy2,['MIT License']
10818,ipykernel,Unavailable,['BSD License']
10819,git-lfs,liberapay/git-lfs-fetch.py,['Unavailable']
10820,setuptools-hg,Unavailable,['GNU General Public License (GPL)']
10821,acm-sdk-python,Unavailable,['Unavailable']
10822,aiida-core,aiidateam/aiida-core,['MIT License']
10823,python-qpid-proton,Unavailable,['Apache Software License']
10824,atramhasis,Unavailable,['GNU General Public License v3 (GPLv3)']
10825,collective-recipe-cmd,Unavailable,['BSD License']
10826,pydrive,googledrive/PyDrive,['Unavailable']
10827,pyaxon,Unavailable,['MIT License']
10828,pypot,poppy-project/pypot,['Unavailable']
10829,neologdn,Unavailable,['Apache Software License']
10830,nbgrader,jupyter/nbgrader,['BSD License']
10831,flup,Unavailable,['BSD License']
10832,castle,castle/castle-python,['MIT License']
10833,screen,Brightcells/screen,['BSD License']
10834,uwsgidecorators,Unavailable,['MIT License']
10835,dotenv,pedroburon/dotenv,['Unavailable']
10836,trytond-account-statement,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
10837,pdbpp,Unavailable,['BSD License']
10838,pottery,brainix/pottery,['Apache Software License']
10839,silpa-common,Unavailable,"['DFSG approved', 'GNU Lesser General Public License v2 or later (LGPLv2+)']"
10840,seed-services-client,praekeltfoundation/seed-services-client,['Unavailable']
10841,cosmos-wfm,Unavailable,['GNU General Public License v3 (GPLv3)']
10842,django-easy-maps,bashu/django-easy-maps,['MIT License']
10843,ilock,symonsoft/ilock,['BSD License']
10844,universalmutator,agroce/universalmutator,['Unavailable']
10845,mouse,boppreh/mouse,['MIT License']
10846,geobases3k,Unavailable,['Free for non-commercial use']
10847,python-mimeparse,dbtsai/python-mimeparse,['MIT License']
10848,grpcio-testing,Unavailable,['Unavailable']
10849,pyxattr,iustin/pyxattr,['GNU Lesser General Public License v2 or later (LGPLv2+)']
10850,junit2html,Unavailable,['Unavailable']
10851,scopus-wp,the16thpythonist/ScopusWp,['Unavailable']
10852,pypdf2,py-pdf/PyPDF2,['BSD License']
10853,colcon-zsh,colcon/colcon-zsh,['Apache Software License']
10854,motioneye,ccrisan/motioneye,['GNU Lesser General Public License v3 (LGPLv3)']
10855,jupyter-highlight-selected-word,jcb91/jupyter_highlight_selected_word.git,['Unavailable']
10856,varlink,varlink/python,['Apache Software License']
10857,h2o-pysparkling-2-3,h2oai/sparkling-water,['Apache Software License']
10858,django-djconfig,nitely/django-djconfig,['MIT License']
10859,flask-jwt-simple,vimalloc/flask-jwt-simple,['MIT License']
10860,pytrustnfe3,danimaribeiro/PyTrustNFe,['GNU Lesser General Public License v2 or later (LGPLv2+)']
10861,django-detect,Brightcells/django-detect,['Unavailable']
10862,glance-store,Unavailable,['Apache Software License']
10863,libfaketime,Unavailable,['GNU General Public License v2 (GPLv2)']
10864,crossrefapi,Unavailable,['Unavailable']
10865,eel,python-eel/Eel,['MIT License']
10866,cftime,Unavailable,['MIT License']
10867,steemax,Unavailable,['Unavailable']
10868,pyobjc-framework-medialibrary,ronaldoussoren/pyobjc,['MIT License']
10869,clint,kennethreitz/clint,['ISC License (ISCL)']
10870,axelrod,Unavailable,['Unavailable']
10871,python-xmp-toolkit,python-xmp-toolkit/python-xmp-toolkit,['BSD License']
10872,landlab,Unavailable,['MIT License']
10873,django-reversion,etianen/django-reversion,['BSD License']
10874,redlock-py,SPSCommerce/identity-service,['MIT License']
10875,datalab,googledatalab/pydatalab,['Apache Software License']
10876,flask-markdown,Unavailable,['BSD License']
10877,mpf-mc,Unavailable,['MIT License']
10878,sqlalchemy-filters,juliotrigo/sqlalchemy-filters,['Apache Software License']
10879,biopandas,rasbt/biopandas,['BSD License']
10880,cmf,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
10881,dartcms,astrikov-d/dartcms,['Unavailable']
10882,hl7apy,Unavailable,['MIT License']
10883,proliantutils,Unavailable,['Apache Software License']
10884,django-cacheops,Unavailable,['BSD License']
10885,mox3,Unavailable,['Apache Software License']
10886,django-otp,django-otp/django-otp,['The Unlicense (Unlicense)']
10887,treecorr,rmjarvis/TreeCorr,['Unavailable']
10888,pynliner,Unavailable,['MIT License']
10889,fs-webdavfs,Unavailable,['MIT License']
10890,aiotg,Unavailable,['MIT License']
10891,fc-qemu,Unavailable,['Unavailable']
10892,iterfzf,dahlia/iterfzf,['GNU General Public License v3 or later (GPLv3+)']
10893,pyacoustid,sampsyo/pyacoustid,['Unavailable']
10894,telegram,liluo/telegram,['Unavailable']
10895,webapp2,Unavailable,['Apache Software License']
10896,sol,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
10897,single-beat,ybrs/single-beat,['Unavailable']
10898,craft-ai,craft-ai/craft-ai-client-python,['BSD License']
10899,htmllaundry,Unavailable,['BSD License']
10900,pybtex-docutils,mcmtroffaes/pybtex-docutils,['MIT License']
10901,datapackage,frictionlessdata/datapackage-py,['MIT License']
10902,os-api-ref,Unavailable,['Apache Software License']
10903,plone-testing,plone/plone.testing,['BSD License']
10904,alexbear,Unavailable,['Unavailable']
10905,51degrees-mobile-detector-v3-wrapper,Unavailable,['Mozilla Public License 2.0 (MPL 2.0)']
10906,dotted,carlosescri/DottedDict,['MIT License']
10907,python-vitrageclient,Unavailable,['Apache Software License']
10908,pymarc,Unavailable,['BSD License']
10909,pygrok,garyelephant/pygrok,['Unavailable']
10910,wstool,Unavailable,['BSD License']
10911,pandas-datareader,pydata/pandas-datareader,['Unavailable']
10912,plone-app-dexterity,Unavailable,['GNU General Public License v2 (GPLv2)']
10913,django-migration-testcase,plumdog/django_migration_testcase,['Unavailable']
10914,pyrtf3,xoviat/pyrtf,['GNU General Public License (GPL)']
10915,snakeoil,pkgcore/snakeoil,['BSD License']
10916,rply,Unavailable,['Unavailable']
10917,rest-framework-generic-relations,Ian-Foote/rest-framework-generic-relations,['Unavailable']
10918,django-organizations,bennylope/django-organizations,['BSD License']
10919,brownie,Unavailable,['BSD License']
10920,google-cloud-spanner,googleapis/python-spanner,['Apache Software License']
10921,fake-useragent,fake-useragent/fake-useragent,['Apache Software License']
10922,eliot-tree,jonathanj/eliottree,['MIT License']
10923,cycler,matplotlib/cycler,['BSD License']
10924,flask-mongoalchemy,Unavailable,['BSD License']
10925,drf-nested-routers,alanjds/drf-nested-routers,['Apache Software License']
10926,cppimport,tbenthompson/cppimport,['MIT License']
10927,graphene-sqlalchemy,graphql-python/graphene-sqlalchemy,['Unavailable']
10928,textdistance,orsinium/textdistance,['MIT License']
10929,pyphen,Kozea/Pyphen,"['GNU General Public License v2 or later (GPLv2+)', 'GNU Lesser General Public License v2 or later (LGPLv2+)', 'Mozilla Public License 1.1 (MPL 1.1)']"
10930,pylint-plugin-utils,PyCQA/pylint-plugin-utils,['GNU General Public License v2 or later (GPLv2+)']
10931,pyviz-comms,Unavailable,['BSD License']
10932,mitogen,mitogen-hq/mitogen,['BSD License']
10933,comet,Unavailable,['Unavailable']
10934,django-bleach,marksweb/django-bleach,['MIT License']
10935,luma-oled,rm-hull/luma.oled,['MIT License']
10936,flask-douwa,Unavailable,['MIT License']
10937,cysignals,sagemath/cysignals,['GNU Lesser General Public License v3 or later (LGPLv3+)']
10938,ophyd,bluesky/ophyd,['BSD License']
10939,geonode-dialogos,GeoNode/geonode-dialogos,['BSD License']
10940,django-haystack,django-haystack/django-haystack,['BSD License']
10941,area4,area4lib/area4,['MIT License']
10942,vitriolic,goodtune/vitriolic,['Unavailable']
10943,swag-client,Netflix-Skunkworks/swag-client,['Unavailable']
10944,django-avatar,jazzband/django-avatar,['BSD License']
10945,tuf,theupdateframework/python-tuf,"['Apache Software License', 'MIT License']"
10946,xlsxwriter,jmcnamara/XlsxWriter,['BSD License']
10947,pulumi-aws,pulumi/pulumi-aws,['Unavailable']
10948,django-invitations,Unavailable,['GNU General Public License v3 (GPLv3)']
10949,google-python-cloud-debugger,GoogleCloudPlatform/cloud-debug-python,['Unavailable']
10950,pudb,inducer/pudb,['MIT License']
10951,jasmine,Unavailable,['MIT License']
10952,openstacksdk,Unavailable,['Apache Software License']
10953,line,Unavailable,['BSD License']
10954,jsons,ramonhagenaars/jsons,['MIT License']
10955,srpastro,Unavailable,['MIT License']
10956,playsound,TaylorSMarks/playsound,['MIT License']
10957,googlemaps,googlemaps/google-maps-services-python,['Apache Software License']
10958,anyblok,Unavailable,['Mozilla Public License 2.0 (MPL 2.0)']
10959,djangosaml2,IdentityPython/djangosaml2,['Apache Software License']
10960,opusfc,Unavailable,['MIT License']
10961,venstarcolortouch,hpeyerl/venstar_colortouch,['MIT License']
10962,evalutils,comic/evalutils,['MIT License']
10963,django-backstage,Unavailable,['Unavailable']
10964,wrapt,GrahamDumpleton/wrapt,['BSD License']
10965,pubcontrol,fanout/pypubcontrol,['MIT License']
10966,smartmin,Unavailable,"['BSD License', 'Other/Proprietary License']"
10967,azure-loganalytics,Azure/azure-sdk-for-python,['MIT License']
10968,suds-requests,armooo/suds_requests,['Unavailable']
10969,collective-recipe-plonesite,Unavailable,['Zope Public License']
10970,timelib,pediapress/timelib,['Unavailable']
10971,django-extended-choices,twidi/django-extended-choices,['BSD License']
10972,django-calaccess-raw-data,palewire/django-calaccess-raw-data,['MIT License']
10973,mdv,Unavailable,['BSD License']
10974,plone-app-portlets,plone/plone.app.portlets,['GNU General Public License v2 (GPLv2)']
10975,z3c-table,zopefoundation/z3c.table,['Zope Public License']
10976,markdownsuperscript,jambonrose/markdown_superscript_extension,['BSD License']
10977,django-paypal,spookylukey/django-paypal,['Unavailable']
10978,laboratory,joealcorn/laboratory,['MIT License']
10979,pyshp,GeospatialPython/pyshp,['Unavailable']
10980,parmap,zeehio/parmap,['Apache Software License']
10981,ethics,Unavailable,['Unavailable']
10982,python-intervals,AlexandreDecan/python-intervals,['GNU Lesser General Public License v3 (LGPLv3)']
10983,aliyun-python-sdk-vod,Unavailable,['Apache Software License']
10984,milksnake,Unavailable,['Apache Software License']
10985,ajenti-plugin-packages,Unavailable,['Unavailable']
10986,tensorflow-probability,Unavailable,['Apache Software License']
10987,django-cas-ng,django-cas-ng/django-cas-ng,['MIT License']
10988,ring,youknowone/ring,['BSD License']
10989,mss,Unavailable,['MIT License']
10990,nbstripout,kynan/nbstripout,['Unavailable']
10991,cryptacular,dholth/cryptacular,['Unavailable']
10992,hunspell,Unavailable,['Unavailable']
10993,django-resized,un1t/django-resized,['Unavailable']
10994,hokusai,Unavailable,['MIT License']
10995,mo-collections,klahnakoski/mo-collections,['Mozilla Public License 2.0 (MPL 2.0)']
10996,aiohttp-debugtoolbar,aio-libs/aiohttp_debugtoolbar,['Apache Software License']
10997,flatten-dict,ianlini/flatten-dict,['MIT License']
10998,proxmoxer,Unavailable,['MIT License']
10999,basket-client,Unavailable,['BSD License']
11000,ibmdbpy,ibmdbanalytics/ibmdbpy,['BSD License']
11001,jitbit-helpdesk,Unavailable,['Unavailable']
11002,pact-python,pact-foundation/pact-python,['MIT License']
11003,xdoctest,Erotemic/xdoctest,['Apache Software License']
11004,bloom,Unavailable,['BSD License']
11005,knnimpute,hammerlab/knnimpute,['Apache Software License']
11006,mime,liluo/mime,['Unavailable']
11007,zope-intid,Unavailable,['Zope Public License']
11008,thoth-storages,thoth-station/storages,['Unavailable']
11009,future,Unavailable,"['OSI Approved', 'MIT License']"
11010,arcade,pythonarcade/arcade,['MIT License']
11011,django-pragmatic,PragmaticMates/django-pragmatic,['BSD License']
11012,django-formidable,peopledoc/django-formidable,['Unavailable']
11013,watchdog,gorakhargosh/watchdog,['Apache Software License']
11014,evodag,mgraffg/EvoDAG,['Apache Software License']
11015,events,Unavailable,['BSD License']
11016,gramex,gramener/gramex,['MIT License']
11017,uritools,tkem/uritools,['MIT License']
11018,fullcontact-py,fullcontact/fullcontact.py,['Unavailable']
11019,maestroops,Unavailable,['Unavailable']
11020,django-ptree,Unavailable,['MIT License']
11021,radicale,Unavailable,['GNU General Public License (GPL)']
11022,pywavefront,pywavefront/PyWavefront,['BSD License']
11023,jinja,Unavailable,['BSD License']
11024,pyramid-layout,Unavailable,['Repoze Public License']
11025,murano,Unavailable,['Apache Software License']
11026,mo-math,klahnakoski/mo-math,['Mozilla Public License 2.0 (MPL 2.0)']
11027,netbluemind,Unavailable,['Unavailable']
11028,openstep-parser,Unavailable,['Unavailable']
11029,scripy,Unavailable,['ISC License (ISCL)']
11030,kutana,ekonda/kutana,['MIT License']
11031,arlo,jeffreydwalter/arlo,['Apache Software License']
11032,flowlogs-reader,obsrvbl-oss/flowlogs-reader,['Apache Software License']
11033,azure-cli-configure,Azure/azure-cli,['MIT License']
11034,rdflib-jsonld,RDFLib/rdflib-jsonld,['BSD License']
11035,ratelimiter,RazerM/ratelimiter,['Apache Software License']
11036,sunpy,sunpy/sunpy,['BSD License']
11037,vunit-hdl,VUnit/vunit,['Mozilla Public License 2.0 (MPL 2.0)']
11038,wheezy-captcha,akornatskyy/wheezy.captcha,['MIT License']
11039,ants-client,Unavailable,['GNU General Public License v3 (GPLv3)']
11040,deployfish,caltechads/deployfish,['Unavailable']
11041,hyperlink,python-hyper/hyperlink,['MIT License']
11042,browserstack-local,browserstack/browserstack-local-python,['Unavailable']
11043,pytest-services,pytest-dev/pytest-services,['MIT License']
11044,pip-check,bartTC/pip-check,['Unavailable']
11045,timezonefinder,jannikmi/timezonefinder,['MIT License']
11046,tripleo-common,Unavailable,['Apache Software License']
11047,jumper,Unavailable,['Unavailable']
11048,pypowerbi,Unavailable,['Unavailable']
11049,abraia,abraia/abraia-python,['Unavailable']
11050,qtip,Unavailable,['Unavailable']
11051,timecode,eoyilmaz/timecode,['MIT License']
11052,pytest-django,pytest-dev/pytest-django,['BSD License']
11053,openvr,cmbruns/pyopenvr,['BSD License']
11054,genie-utils,Unavailable,['Apache Software License']
11055,autopy,autopilot-rs/autopy,"['Apache Software License', 'MIT License']"
11056,optimove,nicolasramy/optimove,['MIT License']
11057,jsonschema,Unavailable,['MIT License']
11058,nameko-sentry,Unavailable,['Unavailable']
11059,pyreadline,Unavailable,['BSD License']
11060,timestamp,Unavailable,['Unavailable']
11061,graphistry,graphistry/pygraphistry,['BSD License']
11062,blockdiag,blockdiag/blockdiag,['Apache Software License']
11063,partd,Unavailable,['Unavailable']
11064,git-review,Unavailable,['Apache Software License']
11065,octavia,Unavailable,['Apache Software License']
11066,backports-os,pjdelport/backports.os,['Python Software Foundation License']
11067,adafruit-dht,adafruit/Adafruit_Python_DHT,['MIT License']
11068,persisting-theory,Unavailable,['BSD License']
11069,carball,SaltieRL/carball,['Unavailable']
11070,zope-pagetemplate,zopefoundation/zope.pagetemplate,['Zope Public License']
11071,graphene-pynamodb,yfilali/graphql-pynamodb,['Unavailable']
11072,kiwipy,aiidateam/kiwipy,"['GNU General Public License v3 (GPLv3)', 'MIT License']"
11073,python-dbusmock,martinpitt/python-dbusmock,['GNU Lesser General Public License v3 or later (LGPLv3+)']
11074,ingenialink,ingeniamc/ingenialink-python,['Unavailable']
11075,redbaron,PyCQA/redbaron,['GNU Lesser General Public License v3 (LGPLv3)']
11076,certbot,certbot/certbot,['Apache Software License']
11077,star-builder,Unavailable,['MIT License']
11078,git-lint,Unavailable,['Apache Software License']
11079,azure-cli-servicebus,Azure/azure-cli,['MIT License']
11080,scapy-http,invernizzi/scapy-http,['Unavailable']
11081,bee-django-user,Unavailable,['MIT License']
11082,jxmlease,Juniper/jxmlease,['MIT License']
11083,edx-auth-backends,openedx/auth-backends,['GNU Affero General Public License v3']
11084,sklearn,Unavailable,['Unavailable']
11085,robotframework-debuglibrary,xyb/robotframework-debuglibrary,['BSD License']
11086,kaggler,jeongyoonlee/Kaggler,['Unavailable']
11087,mlc-tools,mlc-tools/mlc-tools,['MIT License']
11088,pdir2,Unavailable,['MIT License']
11089,safrs,thomaxxl/safrs,['GNU General Public License v3 (GPLv3)']
11090,google-cloud-translate,googleapis/python-translate,['Apache Software License']
11091,cffi,python-cffi/cffi,['MIT License']
11092,carta-ach,carta/python-ach,['Unavailable']
11093,gisdata,GeoNode/gisdata,['BSD License']
11094,python-mistralclient,Unavailable,['Apache Software License']
11095,jsonxs,fboender/jsonxs,['Unavailable']
11096,django,django/django,['BSD License']
11097,pause,jgillick/python-pause,['MIT License']
11098,tapioca-wrapper,vintasoftware/tapioca-wrapper,['MIT License']
11099,pexpect-serial,highwall/pexpect-serial,['MIT License']
11100,auth0-python,auth0/auth0-python,['MIT License']
11101,praw,praw-dev/praw,['BSD License']
11102,django-honeypot,jamesturk/django-honeypot,['BSD License']
11103,seed-isort-config,asottile/seed-isort-config,['MIT License']
11104,fmpy,CATIA-Systems/FMPy,['Unavailable']
11105,django-markdown,Unavailable,['Unavailable']
11106,bgen-reader,limix/bgen-reader-py,['MIT License']
11107,dwolla,Unavailable,['Unavailable']
11108,avro-json-serializer,Unavailable,['Unavailable']
11109,deployv,Unavailable,['BSD License']
11110,plone-tiles,plone/plone.tiles,['GNU General Public License v2 (GPLv2)']
11111,ssdeep,Unavailable,['GNU Lesser General Public License v3 or later (LGPLv3+)']
11112,irc,jaraco/irc,['MIT License']
11113,onegov-form,Unavailable,['GNU General Public License v2 (GPLv2)']
11114,vcstools,Unavailable,['BSD License']
11115,pdfminer,Unavailable,['MIT License']
11116,lesscpy,lesscpy/lesscpy,['MIT License']
11117,h5pyviewer,Unavailable,['Unavailable']
11118,django-csp,Unavailable,['BSD License']
11119,probablepeople,datamade/probablepeople,['MIT License']
11120,hdrhistogram,HdrHistogram/HdrHistogram_py,['Apache Software License']
11121,pydpkg,Unavailable,['Apache Software License']
11122,dj-inmemorystorage,waveaccounting/dj-inmemorystorage,['BSD License']
11123,vconnector,dnaeon/py-vconnector,['Unavailable']
11124,histogrammar,histogrammar/histogrammar-python,['Apache Software License']
11125,winkerberos,mongodb-labs/winkerberos,['Apache Software License']
11126,consul-kv,vdloo/consul-kv,['Unavailable']
11127,pycli,Unavailable,['Unavailable']
11128,pytoolbox,davidfischer-ch/pytoolbox,['European Union Public Licence 1.1 (EUPL 1.1)']
11129,kubernetes-asyncio,tomplus/kubernetes_asyncio,['Apache Software License']
11130,rq-scheduler,rq/rq-scheduler,['MIT License']
11131,bambou,nuagenetworks/bambou,['BSD License']
11132,simplere,Unavailable,['Apache Software License']
11133,wagtail-modeltranslation,infoportugal/wagtail-modeltranslation,"['BSD License', 'Other/Proprietary License']"
11134,progressbar2,wolph/python-progressbar,['BSD License']
11135,pytest-randomly,pytest-dev/pytest-randomly,['MIT License']
11136,prompter,tylerdave/prompter,['MIT License']
11137,deployapp,Unavailable,['BSD License']
11138,mibian,Unavailable,['GNU General Public License (GPL)']
11139,opentrons,Opentrons/opentrons,['Unavailable']
11140,mutagen,quodlibet/mutagen,['GNU General Public License v2 or later (GPLv2+)']
11141,pyzotero,urschrei/pyzotero,['MIT License']
11142,pyobjc-framework-notificationcenter,ronaldoussoren/pyobjc,['MIT License']
11143,django-any-urlfield,edoburu/django-any-urlfield,['Apache Software License']
11144,ajenti-plugin-ace,Unavailable,['Unavailable']
11145,scour,scour-project/scour,['Apache Software License']
11146,pinocchio,mkwiatkowski/pinocchio,['MIT License']
11147,openreview-py,openreview/openreview-py,['Unavailable']
11148,circuitpython-build-tools,Unavailable,['Unavailable']
11149,python-env,Unavailable,['MIT License']
11150,argus-toolbelt,Unavailable,['OSI Approved']
11151,insights-core,redhatinsights/insights-core,['Apache Software License']
11152,paddlepaddle,paddlepaddle/paddle,['Apache Software License']
11153,pact-test,Kalimaha/pact-test,['MIT License']
11154,simplesat,enthought/sat-solvers,['Unavailable']
11155,python-saharaclient,Unavailable,['Apache Software License']
11156,trytond-web-user,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
11157,pickle5,pitrou/pickle5-backport,['Python Software Foundation License']
11158,snappy-manifolds,3-manifolds/snappy_manifolds,['GNU General Public License v2 or later (GPLv2+)']
11159,pygerrit2,dpursehouse/pygerrit2,['MIT License']
11160,azure-mgmt-devspaces,Azure/azure-sdk-for-python,['MIT License']
11161,storops,emc-openstack/storops,['Apache Software License']
11162,yas3fs,danilop/yas3fs,['Unavailable']
11163,pypdns,CIRCL/PyPDNS,['GNU General Public License v3 or later (GPLv3+)']
11164,ci-scripts,Unavailable,['GNU General Public License v3 (GPLv3)']
11165,lda,Unavailable,"['Mozilla Public License 2.0 (MPL 2.0)', 'Other/Proprietary License']"
11166,threadpool,Unavailable,['Python Software Foundation License']
11167,wagtail-inventory,cfpb/wagtail-inventory,"['CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'Public Domain']"
11168,defusedxml,tiran/defusedxml,['Python Software Foundation License']
11169,products-plonekeywordmanager,collective/Products.PloneKeywordManager,['GNU General Public License v2 (GPLv2)']
11170,indy-crypto,hyperledger/indy-crypto,['Unavailable']
11171,django-multiupload,Chive/django-multiupload,['BSD License']
11172,boutiques,Unavailable,['MIT License']
11173,sacred,IDSIA/sacred,['MIT License']
11174,opsgenie-sdk,opsgenie/opsgenie-python-sdk,['Apache Software License']
11175,uw-restclients-django-utils,uw-it-aca/uw-restclients-django-utils,['Apache Software License']
11176,plyer,Unavailable,['MIT License']
11177,qtawesome,spyder-ide/qtawesome,['MIT License']
11178,ghdiff,kilink/ghdiff,['MIT License']
11179,contexttimer,brouberol/contexttimer,['GNU General Public License v3 (GPLv3)']
11180,zipline,Unavailable,['Apache Software License']
11181,mastercard-api-core,Unavailable,['Unavailable']
11182,astrocats,astrocatalogs/astrocats,['MIT License']
11183,akagi,ayemos/akagi,['MIT License']
11184,javaobj-py3,tcalmant/python-javaobj,['Apache Software License']
11185,high-templar,CodeYellowBV/high-templar,['MIT License']
11186,oslo-log,Unavailable,['Apache Software License']
11187,dijkstar,wylee/Dijkstar,['MIT License']
11188,mo-future,klahnakoski/mo-future,['Mozilla Public License 2.0 (MPL 2.0)']
11189,hslog,HearthSim/python-hslog,['MIT License']
11190,python-u2flib-server,Yubico/python-u2flib-server,['BSD License']
11191,tnefparse,koodaamo/tnefparse,['GNU Lesser General Public License v3 (LGPLv3)']
11192,astropy-helpers,astropy/astropy-helpers,['BSD License']
11193,nba-api,swar/nba_api,['MIT License']
11194,schematics,schematics/schematics,['BSD License']
11195,limnoria,Unavailable,['BSD License']
11196,setuptools-git-version,pyfidelity/setuptools-git-version,['MIT License']
11197,dxfgrabber,Unavailable,['MIT License']
11198,cloudmesh-base,Unavailable,['Apache Software License']
11199,peachapisec-cli,Unavailable,['Apache Software License']
11200,convertdate,fitnr/convertdate,['MIT License']
11201,skpy,Terrance/SkPy,['Unavailable']
11202,plone-app-jquery,Unavailable,['GNU General Public License (GPL)']
11203,flask-dropzone,greyli/flask-dropzone,['MIT License']
11204,django-weasyprint,fdemmer/django-weasyprint,['Apache Software License']
11205,blurb,python/core-workflow,['BSD License']
11206,tencentcloud-sdk-python,TencentCloud/tencentcloud-sdk-python,['Apache Software License']
11207,ta,bukosabino/ta,['MIT License']
11208,webtest,Unavailable,['MIT License']
11209,odo,blaze/odo,['Unavailable']
11210,spiceypy,AndrewAnnex/SpiceyPy,['MIT License']
11211,loompy,linnarsson-lab/loompy,['Unavailable']
11212,microcosm-eventsource,globality-corp/microcosm-eventsource,['Unavailable']
11213,amaascore,amaas-fintech/amaas-core-sdk-python,['Unavailable']
11214,smmap2,gitpython-developers/smmap,['Unavailable']
11215,pyvirtualdisplay,ponty/pyvirtualdisplay,['BSD License']
11216,sqlitedict,piskvorky/sqlitedict,['Apache Software License']
11217,pybtex,Unavailable,['MIT License']
11218,pelican,getpelican/pelican,['Other/Proprietary License']
11219,piprot,Unavailable,['MIT License']
11220,doubles,uber/doubles,['MIT License']
11221,hvac,hvac/hvac,['Apache Software License']
11222,morfessor,Unavailable,['BSD License']
11223,mahotas,Unavailable,['MIT License']
11224,ciso8601,closeio/ciso8601,['MIT License']
11225,httplib2,httplib2/httplib2,['MIT License']
11226,uharfbuzz,trufont/uharfbuzz,['Unavailable']
11227,timestring,Unavailable,['Apache Software License']
11228,flask-oauth,Unavailable,['BSD License']
11229,products-zsqlmethods,zopefoundation/Products.ZSQLMethods,['Zope Public License']
11230,diff-match-patch,diff-match-patch-python/diff-match-patch,['Apache Software License']
11231,django-crequest,Alir3z4/django-crequest,['BSD License']
11232,goodtables,frictionlessdata/goodtables,['MIT License']
11233,robotframework-imaplibrary,rickypc/robotframework-imaplibrary,['Apache Software License']
11234,msgpack-numpy,lebedov/msgpack-numpy,['BSD License']
11235,pyobjc-framework-screensaver,ronaldoussoren/pyobjc,['MIT License']
11236,unittest-data-provider,Unavailable,['MIT License']
11237,libhoney,honeycombio/libhoney-py,['Apache Software License']
11238,pyqtgraph,pyqtgraph/pyqtgraph,['MIT License']
11239,smartypants,leohemsted/smartypants.py,['BSD License']
11240,zope-pluggableauth,zopefoundation/zope.pluggableauth,['Zope Public License']
11241,luqum,jurismarches/luqum,"['Apache Software License', 'GNU Lesser General Public License v3 or later (LGPLv3+)']"
11242,five-localsitemanager,zopefoundation/five.localsitemanager,['Zope Public License']
11243,reademption,Unavailable,['MIT License']
11244,shade,Unavailable,['Apache Software License']
11245,nexpy,nexpy/nexpy,['BSD License']
11246,locket,Unavailable,['BSD License']
11247,iglo,Unavailable,['Unavailable']
11248,streaming-form-data,siddhantgoel/streaming-form-data,['MIT License']
11249,fedmsg-meta-fedora-infrastructure,fedora-infra/fedmsg_meta_fedora_infrastructure,['Unavailable']
11250,psiturk,NYUCCL/psiturk,['Unavailable']
11251,boxsdk,box/box-python-sdk,['Apache Software License']
11252,bandit-cli,yhat/yhat-client,['Unavailable']
11253,azure-cli-iot,Azure/azure-cli,['MIT License']
11254,tinytag,devsnd/tinytag,['MIT License']
11255,leprikon,leprikon-cz/leprikon,['BSD License']
11256,zipcode,buckmaxwell/zipcode,['MIT License']
11257,flask-simpleldap,admiralobvious/flask-simpleldap,['MIT License']
11258,turbogears2,Unavailable,['Unavailable']
11259,bzt,Unavailable,['Apache Software License']
11260,pytidylib,Unavailable,['MIT License']
11261,flup6,Unavailable,['BSD License']
11262,braintree,Unavailable,['MIT License']
11263,python-pcre,awahlig/python-pcre,['Unavailable']
11264,dcbase,digital-cube/BASE,['Unavailable']
11265,target-stitch,Unavailable,['Unavailable']
11266,pmsensor,open-homeautomation/pmsensor,['MIT License']
11267,pyarango,tariqdaouda/pyArango,['Apache Software License']
11268,agent-admin,Unavailable,['Unavailable']
11269,omego,ome/omego,['GNU General Public License v2 (GPLv2)']
11270,gutenberg,c-w/Gutenberg,['Apache Software License']
11271,sphinx-py3doc-enhanced-theme,ionelmc/sphinx-py3doc-enhanced-theme,['BSD License']
11272,atlassian-python-api,atlassian-api/atlassian-python-api,['Apache Software License']
11273,infi-pyutils,Infinidat/infi.pyutils,['Unavailable']
11274,pandavro,ynqa/pandavro,['Unavailable']
11275,stups-pierone,zalando-stups/pierone-cli,['Apache Software License']
11276,ml-metrics,Unavailable,['Unavailable']
11277,datadog-checks-base,DataDog/integrations-core,['BSD License']
11278,django-hamlpy,Unavailable,['MIT License']
11279,manga-py,manga-py/manga-py,['MIT License']
