,repo_name,had_common_issue,time_index,treatment_group,pct_coop_comments_bin_2,pr_opener,commits,issue_number,issue_comments,contributors
141,EpistasisLab/tpot,True,15,14.0,1.0,1.0,1.0,4.0,5.0,5
142,EpistasisLab/tpot,True,16,14.0,1.0,0.0,0.0,4.0,4.0,3
143,EpistasisLab/tpot,True,17,14.0,1.0,0.0,1.0,3.0,3.0,6
144,Hipo/drf-extra-fields,False,11,14.0,1.0,0.0,0.0,0.0,0.0,1
145,Hipo/drf-extra-fields,True,10,14.0,1.0,10.0,26.0,21.0,29.0,17
146,Hipo/drf-extra-fields,True,11,14.0,1.0,6.0,13.0,21.0,26.0,15
147,Hipo/drf-extra-fields,True,12,14.0,1.0,11.0,30.0,25.0,43.0,17
148,Hipo/drf-extra-fields,True,13,14.0,1.0,3.0,8.0,14.0,17.0,15
149,Hipo/drf-extra-fields,True,14,14.0,1.0,1.0,4.0,2.0,2.0,7
150,Hipo/drf-extra-fields,True,15,14.0,1.0,9.0,16.0,4.0,4.0,7
151,Hipo/drf-extra-fields,True,16,14.0,1.0,0.0,1.0,0.0,0.0,1
152,Hipo/drf-extra-fields,True,17,14.0,1.0,9.0,17.0,2.0,2.0,6
153,MIT-LCP/wfdb-python,False,10,14.0,0.0,0.0,0.0,1.0,1.0,2
154,MIT-LCP/wfdb-python,False,11,14.0,0.0,0.0,0.0,1.0,1.0,1
155,MIT-LCP/wfdb-python,False,13,14.0,0.0,0.0,0.0,1.0,1.0,1
156,MIT-LCP/wfdb-python,True,10,14.0,0.0,0.0,0.0,5.0,8.0,5
157,MIT-LCP/wfdb-python,True,11,14.0,0.0,31.0,77.0,44.0,90.0,15
158,MIT-LCP/wfdb-python,True,12,14.0,0.0,15.0,30.0,21.0,36.0,13
159,MIT-LCP/wfdb-python,True,13,14.0,0.0,18.0,43.0,17.0,19.0,11
160,MIT-LCP/wfdb-python,True,14,14.0,0.0,1.0,9.0,12.0,15.0,5
161,MIT-LCP/wfdb-python,True,15,14.0,0.0,25.0,45.0,23.0,36.0,6
162,MIT-LCP/wfdb-python,True,16,14.0,0.0,1.0,8.0,16.0,20.0,4
163,MIT-LCP/wfdb-python,True,17,14.0,0.0,3.0,13.0,10.0,31.0,5
164,MLBazaar/MLBlocks,False,12,14.0,0.0,0.0,0.0,0.0,0.0,2
165,MLBazaar/MLBlocks,True,10,14.0,0.0,0.0,6.0,0.0,0.0,1
166,MLBazaar/MLBlocks,True,11,14.0,0.0,0.0,18.0,0.0,0.0,1
167,MLBazaar/MLBlocks,True,12,14.0,0.0,4.0,22.0,0.0,0.0,3
168,MLBazaar/MLBlocks,True,13,14.0,0.0,4.0,16.0,0.0,0.0,3
169,MLBazaar/MLBlocks,True,14,14.0,0.0,0.0,2.0,0.0,0.0,1
170,MLBazaar/MLBlocks,True,16,14.0,0.0,0.0,2.0,0.0,0.0,1
171,MLBazaar/MLBlocks,True,17,14.0,0.0,1.0,14.0,0.0,0.0,1
172,MisterWil/abodepy,False,10,13.0,1.0,0.0,0.0,1.0,3.0,1
173,MisterWil/abodepy,False,12,13.0,1.0,0.0,0.0,1.0,1.0,1
174,MisterWil/abodepy,True,9,13.0,1.0,2.0,5.0,10.0,16.0,9
175,MisterWil/abodepy,True,10,13.0,1.0,7.0,22.0,20.0,36.0,7
176,MisterWil/abodepy,True,11,13.0,1.0,8.0,19.0,10.0,14.0,6
177,MisterWil/abodepy,True,12,13.0,1.0,6.0,22.0,9.0,18.0,8
178,MisterWil/abodepy,True,13,13.0,1.0,0.0,0.0,3.0,3.0,3
179,MisterWil/abodepy,True,15,13.0,1.0,0.0,0.0,1.0,1.0,1
180,MisterWil/abodepy,True,16,13.0,1.0,0.0,0.0,2.0,3.0,2
181,MycroftAI/adapt,False,11,15.0,0.0,0.0,0.0,4.0,7.0,5
182,MycroftAI/adapt,False,12,15.0,0.0,0.0,0.0,2.0,2.0,2
183,MycroftAI/adapt,False,13,15.0,0.0,0.0,0.0,3.0,3.0,3
184,MycroftAI/adapt,False,14,15.0,0.0,0.0,2.0,0.0,0.0,2
185,MycroftAI/adapt,True,11,15.0,0.0,4.0,8.0,5.0,8.0,4
186,MycroftAI/adapt,True,12,15.0,0.0,11.0,18.0,6.0,8.0,4
187,MycroftAI/adapt,True,13,15.0,0.0,10.0,21.0,23.0,35.0,8
188,MycroftAI/adapt,True,14,15.0,0.0,22.0,43.0,11.0,12.0,5
189,MycroftAI/adapt,True,15,15.0,0.0,0.0,0.0,1.0,4.0,3
190,MycroftAI/adapt,True,16,15.0,0.0,0.0,0.0,0.0,0.0,1
