dataset,rolling,category,outcome,normalize,method,covar,split_value,event_time,estimate,sd,ci_low,ci_high
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-8,0.455469756092448,0.348162037918202,-0.226927838227229,1.13786735041212
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-7,0.957836635780112,0.403122386463886,0.167716758310895,1.74795651324933
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-6,0.361577366017834,0.266034121466974,-0.159849512057435,0.883004244093102
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-5,0.0638750756854211,0.16172796902335,-0.253111743600346,0.380861894971188
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-4,0.0957214225795891,0.147437799903001,-0.193256665230293,0.384699510389471
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-3,-0.00188557015889667,0.14432935062363,-0.284771097381212,0.280999957063419
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-2,0.0679767268598812,0.127936284170957,-0.182778390115194,0.318731843834957
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-1,0,0,0,0
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,0,-0.0471703924890465,0.220342801555328,-0.47904228353749,0.384701498559397
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,1,-0.713724105938366,0.203641114413139,-1.11286069018812,-0.314587521688614
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,2,-0.660874195976124,0.221828138693349,-1.09565734781509,-0.226091044137161
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,3,-0.799908523526703,0.199610433747667,-1.19114497367213,-0.408672073381275
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,4,-0.890039207745059,0.238705055106596,-1.35790111575399,-0.422177299736131
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,5,-1.01291166696588,0.197752758698055,-1.40050707401407,-0.625316259917696
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,6,-0.975418290873408,0.224162509970421,-1.41477681041543,-0.536059771331384
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,7,-0.754652669565518,0.400073454157826,-1.53879663971486,0.0294913005838218
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,8,-1.35051519460032,0.345847130011858,-2.02837556942356,-0.672654819777076
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,9,-1.27844767999635,0.271243339144908,-1.81008462472037,-0.746810735272334
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,10,-0.934679776213603,0.796328138512514,-2.49548292769813,0.626123375270925
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,11,-0.800228867118259,0.655312185185054,-2.08464075008096,0.484183015844446
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,12,-0.418688976026503,1.19768684990981,-2.76615520184974,1.92877724979673
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-14,-1.2641191097109,0.620010441401025,-2.47933957485691,-0.0488986445648931
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-13,-0.0224451307841599,0.579654672418421,-1.15856828872426,1.11367802715595
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-12,-0.880494952841349,0.455168072634159,-1.7726243752043,0.0116344695216017
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-11,-0.230234917087468,0.625436814982412,-1.45609107445299,0.995621240278059
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-10,0.164007437518269,0.608467891801725,-1.02858963041311,1.35660450544965
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-9,-0.0592868564789906,0.591358246905565,-1.2183490204139,1.09977530745592
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-8,0.628435959841841,0.580221403146209,-0.508797990324728,1.76566991000841
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-7,0.203509543023923,0.302761679220997,-0.389903348249232,0.796922434297078
