File: issue/project_collaboration.parquet

MD5 hash: 660588700eff93ad5f6236e60f1262d9

Keys: repo_name time_period 

                                                              type  count unique                        mean                  min                  25%                  50%                  75%                  max          std
repo_name                                                   object   1280     92                                                                                                                                                  
time_period                                         datetime64[ns]   1280         2019-09-12 22:49:07.500000  2011-07-01 00:00:00  2018-01-01 00:00:00  2020-01-01 00:00:00  2021-08-16 00:00:00  2023-07-01 00:00:00             
treatment_period                                    datetime64[us]   1280         2019-12-11 15:14:37.500000  2016-07-01 00:00:00  2018-07-01 00:00:00  2020-07-01 00:00:00  2021-07-01 00:00:00  2022-07-01 00:00:00             
prs_opened_dept_comm_per_problem_2avg_below                float64   1256                          28.999204                  0.0                  0.0                  3.0                 20.0                931.0    74.472643
prs_opened_dept_comm_per_problem_avg_above                 float64   1256                           9.720541                  0.0                  0.0                  0.0                  4.0                355.0    27.115878
prs_opened_dept_comm_per_problem_avg_below                 float64   1256                          20.144904                  0.0                  0.0                  1.0                 11.0                908.0    63.283109
prs_opened_dept_comm_per_problem_3avg_above                float64   1256                           0.090764                  0.0                  0.0                  0.0                  0.0                 47.0     1.461771
prs_opened_dept_comm_per_problem_3avg_below                float64   1256                          29.750796                  0.0                  0.0                  3.0                 23.0                934.0     74.71121
prs_opened_dept_comm_per_problem_min_05avg_above           float64   1256                          23.765924                  0.0                  0.0                  1.0                 14.0                750.0     62.13274
prs_opened_dept_comm_per_problem_min_05avg_below           float64   1256                           1.919586                  0.0                  0.0                  0.0                  0.0                 75.0     7.261692
prs_opened_dept_comm_per_problem_min_2avg_above            float64   1256                           0.585987                  0.0                  0.0                  0.0                  0.0                 76.0     4.271719
prs_opened_dept_comm_per_problem_min_2avg_below            float64   1256                          25.093949                  0.0                  0.0                  1.0                 15.0                753.0     64.92567
prs_opened_dept_comm_per_problem_min_avg_above             float64   1256                           8.871815                  0.0                  0.0                  0.0                  3.0                278.0    25.895228
prs_opened_dept_comm_per_problem_min_avg_below             float64   1256                          16.824045                  0.0                  0.0                  0.0                  7.0                731.0    53.835992
