File: drive/output/derived/project_outcomes/project_outcomes_major_months3_unimp.parquet

MD5 hash: 65106f20ead2a684a2d4f5f14989c857

Keys: repo_name time_period 

                                                     type   count unique                           mean                  min                  25%                  50%                  75%                  max              std
repo_name                                          object  204120   6191                                                                                                                                                         
time_period                                datetime64[ns]  204120         2021-06-30 11:55:42.645502720  2015-01-01 00:00:00  2018-04-01 00:00:00  2020-07-01 00:00:00  2022-07-01 00:00:00  2061-01-01 00:00:00                 
cc_prs_merged                                     float64  204120                              0.092068                  0.0                  0.0                  0.0                  0.0                 23.0         0.442649
cc_issues_closed                                  float64  204120                              0.477048                  0.0                  0.0                  0.0                  0.0                601.0         4.561016
first_period                               datetime64[ns]  204120         2016-03-26 13:12:01.693121792  2015-01-01 00:00:00  2015-01-01 00:00:00  2015-10-01 00:00:00  2017-01-01 00:00:00  2023-01-01 00:00:00                 
final_period                               datetime64[ns]  204120         2021-01-06 04:15:46.455026944  2015-01-01 00:00:00  2019-04-01 00:00:00  2021-07-01 00:00:00  2023-04-01 00:00:00  2061-01-01 00:00:00                 
closed_issue                                      float64    5793                              0.644815                  0.0             0.285714             0.833333                  1.0                  1.0         0.402024
closed_in_30_days                                 float64    5793                               0.33932                  0.0                  0.0             0.235294             0.615385                  1.0         0.372407
closed_in_60_days                                 float64    5793                              0.381447                  0.0                  0.0                  0.3             0.714286                  1.0         0.388351
closed_in_90_days                                 float64    5793                              0.411754                  0.0                  0.0             0.333333                  0.8                  1.0         0.397654
closed_in_180_days                                float64    5793                              0.473313                  0.0                  0.0                  0.5                  1.0                  1.0         0.409146
closed_in_360_days                                float64    5793                              0.541262                  0.0                  0.0                  0.5                  1.0                  1.0         0.412844
prs_closed_unmerged                               float64    9234                              3.096275                  0.0                  1.0                  1.0                  2.0               1852.0        39.520265
p_closed_unmerged_pr                              float64    9234                              0.796802                  0.0             0.666667                  1.0                  1.0                  1.0          0.34462
p_merged_pr                                       float64    9234                              0.114566                  0.0                  0.0                  0.0                  0.0                  1.0         0.310165
p_review_state_commented                          float64    9234                              0.006268                  0.0                  0.0                  0.0                  0.0                 20.0          0.23964
p_review_state_approved                           float64    9234                              0.007945                  0.0                  0.0                  0.0                  0.0                  1.5         0.083675
p_review_state_changes_requested                  float64    9234                              0.000726                  0.0                  0.0                  0.0                  0.0                  1.0         0.026091
p_merged_in_30_days                               float64    9234                              0.111359                  0.0                  0.0                  0.0                  0.0                  1.0         0.305534
p_merged_in_60_days                               float64    9234                              0.113558                  0.0                  0.0                  0.0                  0.0                  1.0         0.308546
p_merged_in_90_days                               float64    9234                              0.114252                  0.0                  0.0                  0.0                  0.0                  1.0         0.309699
p_merged_in_180_days                              float64    9234                              0.114385                  0.0                  0.0                  0.0                  0.0                  1.0         0.309883
p_merged_in_360_days                              float64    9234                              0.114558                  0.0                  0.0                  0.0                  0.0                  1.0         0.310144
prs_closed                                        float64    9234                                3.3812                  1.0                  1.0                  1.0                  2.0               1852.0        39.523179
p_closed_pr                                       float64    9234                              0.910261             0.076923                  1.0                  1.0                  1.0                  1.0         0.197459
p_pr_reviews                                      float64     124                              1.567742                  1.0                  1.0                  1.0                  1.0                 21.0         2.392724
avg_prs_closed                                    float64    9234                              1.910163                  1.0                  1.0                  1.0                  1.5                 86.0         3.256283
cc_prs_closed                                     float64    9234                               1.28146                  1.0                  1.0                  1.0                  1.0                181.0         4.032542
avg_prs_closed_unmerged                           float64    9234                              1.647348                  0.0                  1.0                  1.0                  1.0                 86.0          3.13287
cc_prs_closed_unmerged                            float64    9234                              1.160277                  0.0                  1.0                  1.0                  1.0                181.0         4.050167
treatment_period                           datetime64[ns]    6048         2019-10-28 19:22:08.571428352  2015-10-01 00:00:00  2018-04-01 00:00:00  2020-04-01 00:00:00  2021-07-01 00:00:00  2022-10-01 00:00:00                 
abandoned_date                             datetime64[ns]     985         2021-02-07 20:00:14.619289856  2016-07-01 00:00:00  2020-07-01 00:00:00  2022-01-01 00:00:00  2022-07-01 00:00:00  2022-07-01 00:00:00                 
departed_actor_id                                 float64    6048                         18294598.9542                124.0            1052224.0            8496417.0           25855566.0          112581971.0  26341777.671092
control_treatment_period                   datetime64[ns]  204120         2019-12-26 22:35:27.830687744  2015-10-01 00:00:00  2018-10-01 00:00:00  2020-07-01 00:00:00  2021-07-01 00:00:00  2022-10-01 00:00:00                 
all_treatment_period                       datetime64[ns]  204120         2019-12-26 22:35:27.830687744  2015-10-01 00:00:00  2018-10-01 00:00:00  2020-07-01 00:00:00  2021-07-01 00:00:00  2022-10-01 00:00:00                 
time_index                                        float64  179356                              20.39474                  1.0                 13.0                 21.0                 28.0                 35.0         9.223453
treatment_group                                   float64    6048                             20.300926                  4.0                 14.0                 22.0                 27.0                 32.0         7.758769
all_treatment_group                                 int64  204120                             20.948516                  4.0                 16.0                 23.0                 27.0                 32.0         7.536008

