event_time,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimate,sd,ci_low,ci_high
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_pull_request_review,0,0.204536507161231,0.346771801185592,-0.475136223162529,0.884209237484991
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_pull_request_review,1,1.08040904500922,0.450581584429679,0.197269139527053,1.9635489504914
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_pull_request_review_comment,0,0.282338832720182,0.343080907690697,-0.390099746353584,0.954777411793948
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_pull_request_review_comment,1,0.761012239530245,0.331402467147084,0.111463403921961,1.41056107513853
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pull_request_merged_rate_weighted,0,0.0849158637476323,0.223105998309342,-0.352371892938678,0.522203620433943
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pull_request_merged_rate_weighted,1,1.29503378816928,0.595886634723835,0.127095984110568,2.462971592228
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pull_request_review_rate_weighted,0,0.153728436261695,0.228291419074756,-0.293722745124827,0.601179617648218
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,response_rate,0,0.528839866214524,0.276381812267105,-0.0128684858290025,1.07054821825805
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,response_rate,1,0.325154996385221,0.406058537832471,-0.470719737766423,1.12102973053687
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,share_issue_and_pr,0,0.182945805455761,0.267289122998771,-0.34094087562183,0.706832486533352
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,share_issue_and_pr,1,0.96753764768558,0.345993633742495,0.289390125550289,1.64568516982087
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,share_issue_only,0,1.03963651654433,0.302101070131085,0.447518419087405,1.63175461400126
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,share_issue_only,1,-0.0120659591635658,0.270478564889553,-0.542203946347089,0.518072028019958
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,share_pr_only,0,0.229593605215395,0.272587548330111,-0.304677989511622,0.763865199942412
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,share_pr_only,1,0.812473764933144,0.340688136833955,0.144725016738593,1.4802225131277
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,text_sim_ratio,0,0.669467063532272,0.424857979745766,-0.163254576769429,1.50218870383397
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,text_sim_ratio,1,0.453006416872347,0.31241483030873,-0.159326650532763,1.06533948427746
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-0.263346231882831,0.397556658847784,-1.04255728322449,0.515864819458826
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,any_activity_rate_weighted,0,-0.780275422672218,0.801374203990286,-2.35096886249318,0.790418017148742
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,any_activity_rate_weighted,1,-0.314312079555978,0.62204935644341,-1.53352881818506,0.904904659073105
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_all_disc_count,0,0.305050216737268,0.507618963161393,-0.689882951059062,1.2999833845336
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_all_disc_count,1,-0.94234572889422,0.559920465637434,-2.03978984154359,0.15509838375515
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_all_disc_exclude_opener_count,0,0.229402129451178,0.489662397909277,-0.730336170451006,1.18914042935336
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_all_disc_exclude_opener_count,1,-0.916076041285502,0.566799977741216,-2.02700399765829,0.194851915087281
